"letter","key","content"
"A","Accelerated assessment","Rapid assessment of medicines in the centralised procedure that are of major interest for public health, especially ones that are therapeutic innovations. Accelerated assessment usually takes 150 evaluation days, rather than 210. 

More information can be found under [Accelerated assessment](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/accelerated-assessment)."
"A","Access to documents","Activities relating to public access to European Medicines Agency documents. 

More information can be found under [Access to documents](https://www.ema.europa.eu/en/about-us/how-we-work/access-documents)."
"A","Active substance","The substance responsible for the activity of a medicine."
"A","Active substance master file","Documentation providing detailed information on the manufacturing of the active substance of a medicine. 

More information can be found on the eSubmissions website under [Electronic Active Substance Master Files (eASMF)](http://esubmission.ema.europa.eu/eASMF/index.htm)."
"A","Adjuvant","An ingredient in a medicine that increases or modifies the activity of the other ingredients. Adjuvants are often included in vaccines to enhance the body’s immune response."
"A","Advanced therapy medicinal product","A medicine for human use that is based on genes, cells or tissue engineering. 

More information can be found under [Advanced therapies: Overview](https://www.ema.europa.eu/en/human-regulatory/overview/advanced-therapy-medicinal-products-overview)."
"A","Adverse drug reaction","A noxious and unintended response to a medicine."
"A","Adverse event","An untoward medical occurrence after exposure to a medicine, which is not necessarily caused by that medicine."
"A","Ancillary human blood derivative","A medicine derived from human blood or plasma that is incorporated within a medical device, where the main mode of action is due to the device."
"A","Ancillary medicinal substance","A medicine that is incorporated within a medical device where the main mode of action is due to the device. 

More information can be found under [Consultation procedure for ancillary medicinal substances in medical devices](https://www.ema.europa.eu/en/human-regulatory/overview/medical-devices/consultation-procedure-ancillary-medicinal-substances-medical-devices)."
"A","Annual re-assessment","An annual review of the benefits and risks of a medicine that has been authorised under exceptional circumstances. As part of the process, the specific obligations imposed on the marketing-authorisation holder are also reviewed. 

More information can be found under [Annual re-assessment: questions and answers](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/post-authorisation-procedural-qa/annual-re-assessment-questions-answers)."
"A","Article 58 application","An application for a scientific opinion on the use of a human medicine intended exclusively for markets outside of the European Union. Medicines eligible for this procedure are used to prevent or treat diseases of major public health interest. 

More information can be found under [Medicines for use outside the European Union](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/medicines-use-outside-european-union)."
"A","ATC code","The Anatomical Therapeutic Chemical code: a unique code assigned to a medicine according to the organ or system it works on and how it works. The classification system is maintained by the World Health Organization (WHO). 

More information can found on WHO's website under [WHO Collaborating Centre for Drug Statistics Methodology](http://www.whocc.no/).""letter","key","content"
"B","Bioavailability","The extent to which an active ingredient is absorbed from a medicine and becomes available in the body."
"B","Bioequivalence","When two medicines release the same active ingredient into the body at the same rate and to the same extent under similar conditions."
"B","Biological medicine","A medicine whose active substance is made by a living organism."
"B","Biomarker","A biological molecule found in blood, other body fluids, or tissues that can be used to follow body processes and diseases in humans and animals. More information can be found under [Qualification of novel methodologies for medicine development](https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance/qualification-novel-methodologies-medicine-development)."
"B","Biomarker qualification","Certification of the acceptability of a biomarker for a specific use in pharmaceutical research and development. The Agency gives opinions on biomarker qualifications. More information can be found under [Qualification of novel methodologies for medicine development](https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance/qualification-novel-methodologies-medicine-development)."
"B","Biosimilar medicine","A medicine that is similar to a biological medicine that has already been authorised. More information can be found under [Biosimilar medicines: Overview](https://www.ema.europa.eu/en/human-regulatory/overview/biosimilar-medicines-overview)."
"B","Biotechnology","The use of living organisms to create or modify products, including medicines.""letter","key","content"
