title,date,question,answer
[III类体外诊断试剂临床试验，与对照试剂配套使用的仪器平台是否必须是医院自有仪器？可否由申办方提供？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1273507),2020/7/16,咨询内容：老师您好，我司有个III类的体外诊断试剂临床试验，需要和已上市的试剂盒做比对，所选的对照试剂需要在配套的仪器平台上完成检测，咨询：与对照试剂配套使用的仪器平台是否必须是医院自有的仪器平台？可否由申办方提供？,回复：试验机构应该具有所选对照试剂配套使用的仪器平台，试验人员也应该熟悉该仪器平台的使用；试验结束后，机构应保存相关原始数据，并保证原始数据可溯源。如果所选试验机构不具备试验条件，可以重新选择具备条件的医院开展临床试验。
[COVID-19疫情是否影响临床试验现场核查](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1273318),2020/5/11,"咨询内容：老师您好！
请问COVID-19疫情期间，临床试验现场核查任务是否会被影响，如核查任务积压或者延后？
另外请问申请人从什么渠道可以获知申报产品被列入核查名单？

谢谢！

张颖",回复：您好，目前，核查任务正常安排。列入核查名单的品种注册申请人会提前接到通知，也可通过网上咨询窗口进行咨询。
[临床试验数据自查报告是否需要提交？](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1273312),2020/5/8,"咨询内容：尊敬的审核查验中心老师：
根据贵中心2015.7.23发布的《关于药物临床试验数据自查有关事项的说明函》，自查报告表需要在核查前提交至药物临床试验数据自查报告填报系统。根据2020.4.23贵中心发布的《关于对注射用丹参多酚酸进行药物临床试验数据核查的通告》，要求提交临床试验申报资料，补充资料和承诺书。请问，后续进入临床试验现场检查计划的产品，是否还会开放自查报告填报系统，是否还需要在线提交自查报告？
非常感谢！
祝好！",回复：您好，对于2017年12月1日以后集中受理的品种，不再要求填报自查系统。
[关于现场检查及海外核查所需技术资料的咨询](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1272977),2020/3/25,"咨询内容：背景：2019年5月6日，药品审评中心发布《关于提交药品注册检查检验用申报资料光盘的通知》，要求注册申请人在提交新药上市申请和仿制药申请时、提交供现场检查、检验用资料，其中包括申请资料的光盘以及药品研制情况信息表、药品生产情况信息表、现场主文件、药品注册临床试验研究信息表和临床试验信息表等附件。
问题：1、在临床试验现场检查、GMP现场检查和进口药品海外核查时，是否需要完全结合上述附件进行检查/检验？2、如需要提供，时间点可否放在正式核发核查名单时提供，而不是在申请受理时提交？3、如需要提供，对于附件中的详细要求，是否可由申请人酌情简单化处理，而非完全按照附件的模板逐一填写？",回复：注册申请人提交的药品注册检查检验用申报资料光盘为现场检查中的核对依据，必须与注册申报资料一致。注册人应及时完整的提交资料以保证现场检查安排的顺畅、高效。
[药物临床试验资格认定复核检查申报流程问题](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1272967),2019/12/5,咨询内容：老师您好！根据GCP复核申请要求，需在资格认定证书有效期提前6个月进行复核申请，但目前“药物临床试验机构资格认定复核检查”系统已关闭，请问目前如何申请复核检查，盼复，谢谢！,回复：您好！自2019年12月1日起，药物临床试验机构认定改为备案，已不再受理药物临床试验机构资格认定复核检查受理申请。请到国家药监局官方网站，按相关要求进行备案即可。
[临床试验用药物](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1265775),2019/8/8,"咨询内容：老师，您好。有以下问题想向您请教：
1.《药品注册管理办法》中，对于用于临床试验的药物的制备，生产车间满足GMP条件即可。并不要求制备车间一定通过GMP认证。但是《化学药品新注册分类申报资料要求》（试行）：（2016年第80号 2016年5月4日发布）中规定，注册分类1、2、3类证明性文件：（1）申请人机构合法登记证明文件（营业执照等）、《药品生产许可证》及变更记录页、《药品生产质量管理规范》认证证书复印件，需要GMP证书复印件。请问按照那个标准执行？","回复：您好！根据《药品注册管理办法》，临床试验用药物应当在符合《药品生产质量管理规范》的车间制备。应按照《药品生产质量管理规范》的要求组织生产，临床试验用药物的特殊要求可参考2018年7月12日国家药品监督管理局发布的《临床试验用药物生产质量管理规范（征求意见稿）》。
药品注册申报资料的相关要求建议向药品注册管理有关部门咨询。"
[肿瘤药物临床试验中因疾病进展导致的死亡是否需要报告SAE](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1268452),2019/6/17,"咨询内容：老师您好！
    查验中心在中国新药杂志 2019 年第 28 卷第 8 期发表了文章“从药物临床试验数据核查看申办者的职责履行情 况” 。其中描述有“2.4.1  方案设计不符合法规要求  方案设计违反相关法规要求，如某抗肿瘤药物方案规定:试验期间出现因疾病进展而导致的死亡不属于SAE，无需报告。在现场核查中，发现该试验多例死亡SAE漏报”，根据文章内容是否可以理解为：抗肿瘤药物临床试验过程中发生的因疾病进展而导致的死亡也应属于SAE，需要报告？还是因疾病进展而导致的死亡不需要报告，但研究者需要明确死亡的原因确定为死亡进展，如果不能明确的应该报告SAE？
    谢谢！","回复：您好！
根据我国现行GCP对SAE的定义“临床试验过程中发生需住院治疗、延长住院时间、伤残、影响工作能力、危及生命或死亡、导致先天畸形等事件”，试验期间不管是何种原因导致的死亡都属于SAE，都需要报告。如果抗肿瘤药物临床试验方案中将死亡作为试验终点且获得监管部门的同意或默视同意，则可不作为SAE个例报告，但在试验报告中需对死亡事件进行分析。"
[医院未收到药物临床试验机构资格认定证书](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1262992),2019/5/16,咨询内容：老师您好：我院于2017年05月19日通过资格认定复核检查，证书编号：XF20170479内蒙古自治区药监局已收到药物临床试验机构资格认定批件，但我院一直未收到“药物临床试验机构资格认定证书”。请老师给予查询为盼!,回复：国家药监局行政受理和投诉举报中心负责证书寄送，请咨询该中心。
[咨询《药物临床试验机构资格认定检查细则（试行）》是否已发布](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1262979),2019/5/14,"咨询内容：您好，我是郑州中医骨伤病医院伦理委员会秘书。
总局审核查验中心2014年9月5日发出“关于征求《药物临床试验机构资格认定检查细则（试行）》意见和建议的通知”，请问现在细则是否已发布？
如已发布，请问发布的是《细则》还是《细则（试行）》？在哪里可以查询？能否提供查询链接？
如未发布，请问现在对药物临床试验机构资格认定检查的标准是什么？
我们想要申请成为药物临床试验机构，需要了解具体的认定检查标准，方便查漏补缺，谢谢。","回复：您好！
《药物临床试验机构资格认定检查细则（试行）》尚未实行。机构资格认定检查的标准为2004年国家局发布的《药物临床试验机构资格认定办法（试行）》，请到国家药监局网站查询。"
[临床试验样品](https://www.cfdi.org.cn/cfdi/index?module=A004&part=localfrm&tcode=STA026&id=1258984),2019/5/7,咨询内容：老师您好，我公司具备临床样品制备车间（中试生产车间），（1）QC没有微生物实验室，用于临床样品的无菌项、细菌内毒素检测项是否可以委托同一集团下其他公司进行检验，及分析方法学验证？（2）临床样品制备使用的库房可否借用同一集团下其他公司的库房（符合GMP要求）？,"回复：（1）每个批次的临床试验用药物均须检验，以保证符合既定的质量标准。如进行委托检验，应按照监管要求，符合《药品生产质量管理规范》中委托检验的要求。
（2）生产临床试验用药物的厂房和设施应符合《药品生产质量管理规范》的要求，并根据临床试验期间药物的特点，在贮存环节避免混淆和差错，确保临床试验用药物质量，保障受试者的安全。"
